Tier 1,Construction,Base,Root,Conjugation,Alt,Alt2,Alt3,,
,past continuous completion conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっていたら,,,,,
,past continuous completion deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっているべきだった,,,,,
,negative past continuous resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いてなかった,,,,,
,past continuous resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いていったら,ていてあったら,,,,
,past continuous potential conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられたら,,,,,
,past continuous potential desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられたかった,,,,,
,past continuous potential deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられるべきだった,,,,,
,past continuous conditional desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたかったら,,,,,
,past continuous conditional deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いるべきだったら,,,,,
,negative past completion resultant,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまってなかった,,,,,
,past completion resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまってあったら,,,,,
,past completion potential conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえたら,,,,,
,past completion potential desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえたかった,,,,,
,past completion potential deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえるべきだった,,,,,
,past completion passive conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわれたら,,,,,
,past completion passive deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわれるべきだった,,,,,
,past completion conditional desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいたかったら,,,,,
,past completion conditional deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまうべきだったら,,,,,
,past continuous completion desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっていたかった,,,,,
,past continuous potential causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられていた,,,,,
,past resultant potential causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられていた,せられてあった,,,,
,past potential causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられたら,,,,,
,past potential causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられたかった,,,,,
,past potential causative deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられるべきだった,,,,,
,past potential conditional desiderative,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,たかったら,,,,,
,past potential conditional deontic,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,るべきだったら,,,,,
,past continuous potential desiderative,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,ていたかった,,,,,
,past continuous causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていたら,,,,,
,past resultant causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていたら,させてあったら,,,,
,past causative conditional desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せたかったら,,,,,
,past causative conditional deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せるべきだったら,,,,,
,past continuous causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていたかった,,,,,
,past continuous conditional desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたかったら,,,,,
,negative continuous completion conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっていなければ,,,,,
,negative continuous completion deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっているべきでない,,,,,
,negative continuous resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いてなければ,,,,,
,negative continuous potential conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられなければ,,,,,
,negative continuous potential desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられたくない,,,,,
,negative continuous potential deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられるべきでない,,,,,
,negative continuous conditional desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたくなければ,,,,,
,negative continuous conditional deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いるべきでなければ,,,,,
,negative completion resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまってなければ,,,,,
,negative completion potential conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえなければ,,,,,
,negative completion potential desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえたくない,,,,,
,negative completion potential deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえるべきでない,,,,,
,negative completion passive conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわれなければ,,,,,
,negative completion passive deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわれるべきでない,,,,,
,negative completion conditional desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいたくなければ,,,,,
,negative completion conditional deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまうべきでなければ,,,,,
,negative past resultant potential,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,てなかった,,,,,
,negative resultant potential conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,てなければ,,,,,
,negative continuous potential causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられていない,,,,,
,negative potential causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられなければ,,,,,
,negative potential causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられたくない,,,,,
,negative potential causative deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられるべきでない,,,,,
,negative potential conditional desiderative,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,たくなければ,,,,,
