Tier 1,Construction,Base,Root,Conjugation,Alt,Alt2,Alt3,,
,past completion desiderative continuous,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっていたかったです,,,,,
,past potential causative continuous,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられていたです,せられていました,,,,
,past potential causative resultant,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられていたです,せられてあったです,せられていました,せられてありました,,
,past potential causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられたら,,,,,
,past potential causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられたかったです,,,,,
,past potential causative deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられるべきだったです,,,,,
,past potential conditional desiderative,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,たかったら,,,,,
,past potential conditional deontic,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,るべきだったら,,,,,
,past potential desiderative continuous,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,ていたかったです,,,,,
,past causative conditional continuous,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていたら,,,,,
,past causative conditional resultant,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていたら,させてあったら,,,,
,past causative conditional desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せたかったら,,,,,
,past causative conditional deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せるべきだったら,,,,,
,past causative desiderative continuous,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていたかった,,,,,
,past conditional desiderative continuous,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたかったら,,,,,
,negative continuous completion conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっていなければ,,,,,
,negative continuous completion deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっているべきでないです,しまっているべきではありません,,,,
,negative continuous resultant conditional ,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いてなければ,,,,,
,negative continuous potential conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられなければ,,,,,
,negative continuous potential desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられたくないです,いられたくありません,,,,
,negative continuous potential deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられるべきでないです,いられるべきではありません,,,,
,negative continuous conditional desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたくなければ,,,,,
,negative continuous conditional deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いるべきでなければ,,,,,
,negative completion resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまってなければ,,,,,
,negative completion potential conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえなければ,,,,,
,negative completion potential desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえたくないです,しまえたくありません,,,,
,negative completion potential deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえるべきでないです,しまえるべきではありません,,,,
,negative completion passive conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわれなければ,,,,,
,negative completion passive deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわれるべきでないです,しまわれるべきではありません,,,,
,negative completion conditional desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいたくなければ,,,,,
,negative completion conditional deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまうべきでなければ,,,,,
,negative potential resultant past,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,てなかったです,ていませんでした,,,,
,negative potential resultant conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,てなければ,,,,,
,negative potential causative continuous,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられていないです,せられていません,,,,
,negative potential causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられなければ,,,,,
,negative potential causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられたくないです,せられたくありません,,,,
